mutant_id,status,file,line,mutator,original,replacement,covering_tests,verdict,reason,mentor_confirmed
24,Survived,packages/dinero.js/src/core/api/allocate.ts,80,MethodExpression,"normalizedRatios.every(({ amount }) => greaterThanOrEqualFn(amount, zero) )","normalizedRatios.some(({ amount }) => greaterThanOrEqualFn(amount, zero))",allocate number decimal currencies allocates to percentages; allocate number decimal currencies allocates to ratios; allocate number decimal currencies ignores zero ratios; allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number decimal currencies throws when using empty ratios; allocate number decimal currencies throws when using negative ratios; allocate number decimal currencies throws when using only zero ratios; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies throws when using empty ratios; allocate number non-decimal currencies throws when using negative ratios; allocate number non-decimal currencies throws when using only zero ratios; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies allocates to ratios; allocate bigint decimal currencies ignores zero ratios; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies throws when using empty ratios; allocate bigint decimal currencies throws when using negative ratios; allocate bigint decimal currencies throws when using only zero ratios; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies throws when using empty ratios; allocate bigint non-decimal currencies throws when using negative ratios; allocate bigint non-decimal currencies throws when using only zero ratios; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies allocates to ratios; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies throws when using empty ratios; allocate Big.js decimal currencies throws when using negative ratios; allocate Big.js decimal currencies throws when using only zero ratios; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies throws when using empty ratios; allocate Big.js non-decimal currencies throws when using negative ratios; allocate Big.js non-decimal currencies throws when using only zero ratios; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts,real_gap,,
31,Survived,packages/dinero.js/src/core/api/allocate.ts,87,ConditionalExpression,hasRatios && hasOnlyPositiveRatios,true,allocate number decimal currencies allocates to percentages; allocate number decimal currencies allocates to ratios; allocate number decimal currencies ignores zero ratios; allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number decimal currencies throws when using empty ratios; allocate number decimal currencies throws when using negative ratios; allocate number decimal currencies throws when using only zero ratios; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies throws when using empty ratios; allocate number non-decimal currencies throws when using negative ratios; allocate number non-decimal currencies throws when using only zero ratios; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies allocates to ratios; allocate bigint decimal currencies ignores zero ratios; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies throws when using empty ratios; allocate bigint decimal currencies throws when using negative ratios; allocate bigint decimal currencies throws when using only zero ratios; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies throws when using empty ratios; allocate bigint non-decimal currencies throws when using negative ratios; allocate bigint non-decimal currencies throws when using only zero ratios; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies allocates to ratios; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies throws when using empty ratios; allocate Big.js decimal currencies throws when using negative ratios; allocate Big.js decimal currencies throws when using only zero ratios; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies throws when using empty ratios; allocate Big.js non-decimal currencies throws when using negative ratios; allocate Big.js non-decimal currencies throws when using only zero ratios; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts,real_gap,,
32,Survived,packages/dinero.js/src/core/api/allocate.ts,87,LogicalOperator,hasRatios && hasOnlyPositiveRatios,hasRatios || hasOnlyPositiveRatios,allocate number decimal currencies allocates to percentages; allocate number decimal currencies allocates to ratios; allocate number decimal currencies ignores zero ratios; allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number decimal currencies throws when using empty ratios; allocate number decimal currencies throws when using negative ratios; allocate number decimal currencies throws when using only zero ratios; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies throws when using empty ratios; allocate number non-decimal currencies throws when using negative ratios; allocate number non-decimal currencies throws when using only zero ratios; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies allocates to ratios; allocate bigint decimal currencies ignores zero ratios; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies throws when using empty ratios; allocate bigint decimal currencies throws when using negative ratios; allocate bigint decimal currencies throws when using only zero ratios; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies throws when using empty ratios; allocate bigint non-decimal currencies throws when using negative ratios; allocate bigint non-decimal currencies throws when using only zero ratios; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies allocates to ratios; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies throws when using empty ratios; allocate Big.js decimal currencies throws when using negative ratios; allocate Big.js decimal currencies throws when using only zero ratios; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies throws when using empty ratios; allocate Big.js non-decimal currencies throws when using negative ratios; allocate Big.js non-decimal currencies throws when using only zero ratios; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts,real_gap,,
78,Survived,packages/dinero.js/src/core/api/haveSameAmount.ts,26,MethodExpression,"otherDineros.every((d) => { const { amount: subjectAmount } = d.toJSON(); return equalFn(subjectAmount, comparatorAmount); })","otherDineros.some(d => { const { amount: subjectAmount } = d.toJSON(); return equalFn(subjectAmount, comparatorAmount); })","subtract properties is the inverse of add: add(subtract(a, b), b) equals a; compare properties is consistent with equal: compare(a, b) === 0 iff equal(a, b); add properties is commutative: add(a, b) equals add(b, a); add properties is associative: add(add(a, b), c) equals add(a, add(b, c)); add properties has zero as identity: add(a, 0) equals a; add properties is the inverse of subtract: subtract(add(a, b), b) equals a; equal number decimal currencies returns true when amounts and currencies are equal; equal number decimal currencies returns false when amounts are not equal; equal number decimal currencies returns false when currencies are not equal; equal number decimal currencies returns false when amounts and currencies are not equal; equal number decimal currencies returns true when amounts are equal after normalization; equal number decimal currencies returns false when amounts are not equal after normalization; equal number non-decimal currencies returns true when amounts and currencies are equal; equal number non-decimal currencies returns false when amounts are not equal; equal number non-decimal currencies returns false when currencies are not equal; equal number non-decimal currencies returns false when amounts and currencies are not equal; equal number non-decimal currencies returns true when amounts are equal after normalization; equal number non-decimal currencies returns false when amounts are not equal after normalization; equal bigint decimal currencies returns true when amounts and currencies are equal; equal bigint decimal currencies returns false when amounts are not equal; equal bigint decimal currencies returns false when currencies are not equal; equal bigint decimal currencies returns false when amounts and currencies are not equal; equal bigint decimal currencies returns true when amounts are equal after normalization; equal bigint decimal currencies returns false when amounts are not equal after normalization; equal bigint non-decimal currencies returns true when amounts and currencies are equal; equal bigint non-decimal currencies returns false when amounts are not equal; equal bigint non-decimal currencies returns false when currencies are not equal; equal bigint non-decimal currencies returns false when amounts and currencies are not equal; equal bigint non-decimal currencies returns true when amounts are equal after normalization; equal bigint non-decimal currencies returns false when amounts are not equal after normalization; equal Big.js decimal currencies returns true when amounts and currencies are equal; equal Big.js decimal currencies returns false when amounts are not equal; equal Big.js decimal currencies returns false when currencies are not equal; equal Big.js decimal currencies returns false when amounts and currencies are not equal; equal Big.js decimal currencies returns true when amounts are equal after normalization; equal Big.js decimal currencies returns false when amounts are not equal after normalization; equal Big.js non-decimal currencies returns true when amounts and currencies are equal; equal Big.js non-decimal currencies returns false when amounts are not equal; equal Big.js non-decimal currencies returns false when currencies are not equal; equal Big.js non-decimal currencies returns false when amounts and currencies are not equal; equal Big.js non-decimal currencies returns true when amounts are equal after normalization; equal Big.js non-decimal currencies returns false when amounts are not equal after normalization; equal properties is reflexive: equal(a, a) is always true; equal properties is symmetric: equal(a, b) equals equal(b, a); haveSameAmount number returns true when amounts are equal; haveSameAmount number returns false when amounts are not equal; haveSameAmount number returns true when amounts are equal once normalized; haveSameAmount number returns false when amounts are not equal once normalized; haveSameAmount bigint returns true when amounts are equal; haveSameAmount bigint returns false when amounts are not equal; haveSameAmount bigint returns true when amounts are equal once normalized; haveSameAmount bigint returns false when amounts are not equal once normalized; haveSameAmount Big.js returns true when amounts are equal; haveSameAmount Big.js returns false when amounts are not equal; haveSameAmount Big.js returns true when amounts are equal once normalized; haveSameAmount Big.js returns false when amounts are not equal once normalized; multiply properties has 1 as identity: multiply(a, 1) equals a",real_gap,,
81,Survived,packages/dinero.js/src/core/api/haveSameCurrency.ts,14,MethodExpression,"otherDineros.every((d) => { const { currency: subject } = d.toJSON(); const subjectBase = computeBaseFn(subject.base); return ( subject.code === comparator.code && equalFn(subjectBase, comparatorBase) && equalFn(subject.exponent, comparator.exponent) ); })","otherDineros.some(d => { const { currency: subject } = d.toJSON(); const subjectBase = computeBaseFn(subject.base); return subject.code === comparator.code && equalFn(subjectBase, comparatorBase) && equalFn(subject.exponent, comparator.exponent); })","minimum number returns the lower from a set of Dinero objects; minimum number returns the greatest from a set of Dinero objects after normalization; minimum number throws when using different currencies; minimum bigint returns the lower from a set of Dinero objects; minimum bigint returns the greatest from a set of Dinero objects after normalization; minimum bigint throws when using different currencies; minimum Big.js returns the lower from a set of Dinero objects; minimum Big.js returns the greatest from a set of Dinero objects after normalization; minimum Big.js throws when using different currencies; subtract number subtracts positive Dinero objects; subtract number subtracts negative Dinero objects; subtract number normalizes the result to the highest scale; subtract number throws when using different currencies; subtract bigint subtracts positive Dinero objects; subtract bigint subtracts negative Dinero objects; subtract bigint normalizes the result to the highest scale; subtract bigint throws when using different currencies; subtract Big.js subtracts positive Dinero objects; subtract Big.js subtracts negative Dinero objects; subtract Big.js normalizes the result to the highest scale; subtract Big.js throws when using different currencies; subtract properties self-subtraction yields zero: subtract(a, a) has amount 0; subtract properties is the inverse of add: add(subtract(a, b), b) equals a; compare number decimal currencies returns -1 when the first amount is less than the other; compare number decimal currencies returns 0 when amounts are equal; compare number decimal currencies returns 1 when the first amount is greater than the other; compare number decimal currencies normalizes the result to the highest scale; compare number decimal currencies throws when using different currencies; compare number non-decimal currencies returns -1 when the first amount is less than the other; compare number non-decimal currencies returns 0 when amounts are equal; compare number non-decimal currencies returns 1 when the first amount is greater than the other; compare number non-decimal currencies normalizes the result to the highest scale; compare number non-decimal currencies throws when using different currencies; compare bigint decimal currencies returns -1 when the first amount is less than the other; compare bigint decimal currencies returns 0 when amounts are equal; compare bigint decimal currencies returns 1 when the first amount is greater than the other; compare bigint decimal currencies correctly compares large integers; compare bigint decimal currencies normalizes the result to the highest scale; compare bigint decimal currencies throws when using different currencies; compare bigint non-decimal currencies returns -1 when the first amount is less than the other; compare bigint non-decimal currencies returns 0 when amounts are equal; compare bigint non-decimal currencies returns 1 when the first amount is greater than the other; compare bigint non-decimal currencies normalizes the result to the highest scale; compare bigint non-decimal currencies throws when using different currencies; compare Big.js decimal currencies returns -1 when the first amount is less than the other; compare Big.js decimal currencies returns 0 when amounts are equal; compare Big.js decimal currencies returns 1 when the first amount is greater than the other; compare Big.js decimal currencies correctly compares large integers; compare Big.js decimal currencies normalizes the result to the highest scale; compare Big.js decimal currencies throws when using different currencies; compare Big.js non-decimal currencies returns -1 when the first amount is less than the other; compare Big.js non-decimal currencies returns 0 when amounts are equal; compare Big.js non-decimal currencies returns 1 when the first amount is greater than the other; compare Big.js non-decimal currencies normalizes the result to the highest scale; compare Big.js non-decimal currencies throws when using different currencies; compare properties is antisymmetric: compare(a, b) equals -compare(b, a); compare properties is transitive: if a <= b and b <= c, then a <= c; compare properties is consistent with equal: compare(a, b) === 0 iff equal(a, b); compare properties is total: for any a, b either a <= b or b <= a; add number decimal currencies adds up positive Dinero objects; add number decimal currencies adds up negative Dinero objects; add number decimal currencies normalizes the result to the highest scale; add number decimal currencies throws when using different currencies; add number non-decimal currencies adds up positive Dinero objects; add number non-decimal currencies adds up negative Dinero objects; add number non-decimal currencies normalizes the result to the highest scale; add number non-decimal currencies throws when using different currencies; add bigint decimal currencies adds up positive Dinero objects; add bigint decimal currencies adds up positive Dinero objects with large integers; add bigint decimal currencies adds up negative Dinero objects; add bigint decimal currencies adds up negative Dinero objects with large integers; add bigint decimal currencies normalizes the result to the highest scale; add bigint decimal currencies throws when using different currencies; add bigint non-decimal currencies adds up positive Dinero objects; add bigint non-decimal currencies adds up negative Dinero objects; add bigint non-decimal currencies normalizes the result to the highest scale; add bigint non-decimal currencies throws when using different currencies; add Big.js decimal currencies adds up positive Dinero objects; add Big.js decimal currencies adds up positive Dinero objects with large integers; add Big.js decimal currencies adds up negative Dinero objects; add Big.js decimal currencies adds up negative Dinero objects with large integers; add Big.js decimal currencies normalizes the result to the highest scale; add Big.js decimal currencies throws when using different currencies; add Big.js non-decimal currencies adds up positive Dinero objects; add Big.js non-decimal currencies adds up negative Dinero objects; add Big.js non-decimal currencies normalizes the result to the highest scale; add Big.js non-decimal currencies throws when using different currencies; add properties is commutative: add(a, b) equals add(b, a); add properties is associative: add(add(a, b), c) equals add(a, add(b, c)); add properties has zero as identity: add(a, 0) equals a; add properties is the inverse of subtract: subtract(add(a, b), b) equals a; greaterThanOrEqual number returns false when the first amount is less than the other; greaterThanOrEqual number returns true when amounts are equal; greaterThanOrEqual number returns true when the first amount is greater than the other; greaterThanOrEqual number normalizes the result to the highest scale; greaterThanOrEqual number throws when using different currencies; greaterThanOrEqual bigint returns false when the first amount is less than the other; greaterThanOrEqual bigint returns true when amounts are equal; greaterThanOrEqual bigint returns true when the first amount is greater than the other; greaterThanOrEqual bigint normalizes the result to the highest scale; greaterThanOrEqual bigint throws when using different currencies; greaterThanOrEqual Big.js returns false when the first amount is less than the other; greaterThanOrEqual Big.js returns true when amounts are equal; greaterThanOrEqual Big.js returns true when the first amount is greater than the other; greaterThanOrEqual Big.js normalizes the result to the highest scale; greaterThanOrEqual Big.js throws when using different currencies; lessThan number returns true when the first amount is less than the other; lessThan number returns false when amounts are equal; lessThan number returns false when the first amount is greater than the other; lessThan number normalizes the result to the highest scale; lessThan number throws when using different currencies; lessThan bigint returns true when the first amount is less than the other; lessThan bigint returns false when amounts are equal; lessThan bigint returns false when the first amount is greater than the other; lessThan bigint normalizes the result to the highest scale; lessThan bigint throws when using different currencies; lessThan Big.js returns true when the first amount is less than the other; lessThan Big.js returns false when amounts are equal; lessThan Big.js returns false when the first amount is greater than the other; lessThan Big.js normalizes the result to the highest scale; lessThan Big.js throws when using different currencies; equal number decimal currencies returns true when amounts and currencies are equal; equal number decimal currencies returns false when currencies are not equal; equal number decimal currencies returns true when amounts are equal after normalization; equal number non-decimal currencies returns true when amounts and currencies are equal; equal number non-decimal currencies returns true when amounts are equal after normalization; equal bigint decimal currencies returns true when amounts and currencies are equal; equal bigint decimal currencies returns false when currencies are not equal; equal bigint decimal currencies returns true when amounts are equal after normalization; equal bigint non-decimal currencies returns true when amounts and currencies are equal; equal bigint non-decimal currencies returns true when amounts are equal after normalization; equal Big.js decimal currencies returns true when amounts and currencies are equal; equal Big.js decimal currencies returns false when currencies are not equal; equal Big.js decimal currencies returns true when amounts are equal after normalization; equal Big.js non-decimal currencies returns true when amounts and currencies are equal; equal Big.js non-decimal currencies returns true when amounts are equal after normalization; equal properties is reflexive: equal(a, a) is always true; greaterThan number decimal currencies returns false when the first amount is less than the other; greaterThan number decimal currencies returns false when amounts are equal; greaterThan number decimal currencies returns true when the first amount is greater than the other; greaterThan number decimal currencies normalizes the result to the highest scale; greaterThan number decimal currencies throws when using different currencies; greaterThan number non-decimal currencies returns false when the first amount is less than the other; greaterThan number non-decimal currencies returns false when amounts are equal; greaterThan number non-decimal currencies returns true when the first amount is greater than the other; greaterThan number non-decimal currencies normalizes the result to the highest scale; greaterThan number non-decimal currencies throws when using different currencies; greaterThan bigint decimal currencies returns false when the first amount is less than the other; greaterThan bigint decimal currencies returns false when amounts are equal; greaterThan bigint decimal currencies returns true when the first amount is greater than the other; greaterThan bigint decimal currencies normalizes the result to the highest scale; greaterThan bigint decimal currencies throws when using different currencies; greaterThan bigint non-decimal currencies returns false when the first amount is less than the other; greaterThan bigint non-decimal currencies returns false when amounts are equal; greaterThan bigint non-decimal currencies returns true when the first amount is greater than the other; greaterThan bigint non-decimal currencies normalizes the result to the highest scale; greaterThan bigint non-decimal currencies throws when using different currencies; greaterThan Big.js decimal currencies returns false when the first amount is less than the other; greaterThan Big.js decimal currencies returns false when amounts are equal; greaterThan Big.js decimal currencies returns true when the first amount is greater than the other; greaterThan Big.js decimal currencies normalizes the result to the highest scale; greaterThan Big.js decimal currencies throws when using different currencies; greaterThan Big.js non-decimal currencies returns false when the first amount is less than the other; greaterThan Big.js non-decimal currencies returns false when amounts are equal; greaterThan Big.js non-decimal currencies returns true when the first amount is greater than the other; greaterThan Big.js non-decimal currencies normalizes the result to the highest scale; greaterThan Big.js non-decimal currencies throws when using different currencies; maximum number returns the greatest from a set of Dinero objects; maximum number returns the greatest from a set of Dinero objects after normalization; maximum number throws when using different currencies; maximum bigint returns the greatest from a set of Dinero objects; maximum bigint returns the greatest from a set of Dinero objects after normalization; maximum bigint throws when using different currencies; maximum Big.js returns the greatest from a set of Dinero objects; maximum Big.js returns the greatest from a set of Dinero objects after normalization; maximum Big.js throws when using different currencies; lessThanOrEqual number returns true when the first amount is less than the other; lessThanOrEqual number returns true when amounts are equal; lessThanOrEqual number returns false when the first amount is greater than the other; lessThanOrEqual number normalizes the result to the highest scale; lessThanOrEqual number throws when using different currencies; lessThanOrEqual bigint returns true when the first amount is less than the other; lessThanOrEqual bigint returns true when amounts are equal; lessThanOrEqual bigint returns false when the first amount is greater than the other; lessThanOrEqual bigint normalizes the result to the highest scale; lessThanOrEqual bigint throws when using different currencies; lessThanOrEqual Big.js returns true when the first amount is less than the other; lessThanOrEqual Big.js returns true when amounts are equal; lessThanOrEqual Big.js returns false when the first amount is greater than the other; lessThanOrEqual Big.js normalizes the result to the highest scale; lessThanOrEqual Big.js throws when using different currencies; haveSameCurrency number returns true when currencies are equal; haveSameCurrency number returns false when currencies are not equal; haveSameCurrency number returns true when currencies are structurally equal; haveSameCurrency number returns true when multi-base currencies are structurally equal; haveSameCurrency number returns true when multi-base currencies compute to the same base; haveSameCurrency bigint returns true when currencies are equal; haveSameCurrency bigint returns false when currencies are not equal; haveSameCurrency bigint returns true when currencies are structurally equal; haveSameCurrency bigint returns true when multi-base currencies are structurally equal; haveSameCurrency bigint returns true when multi-base currencies compute to the same base; haveSameCurrency Big.js returns true when currencies are equal; haveSameCurrency Big.js returns false when currencies are not equal; haveSameCurrency Big.js returns true when currencies are structurally equal; haveSameCurrency Big.js returns true when multi-base currencies are structurally equal; haveSameCurrency Big.js returns true when multi-base currencies compute to the same base; multiply properties has 1 as identity: multiply(a, 1) equals a",real_gap,,
201,Survived,packages/dinero.js/src/core/api/trimScale.ts,28,ConditionalExpression,"equalFn(newScale, scale)",false,trimScale number trims a Dinero object down to its currency exponent's scale; trimScale number trims a Dinero object down to the safest possible scale; trimScale number doesn't trim the scale when there's nothing to trim; trimScale number doesn't crash on zero amounts; trimScale bigint trims a Dinero object down to its currency exponent's scale; trimScale bigint trims a Dinero object down to the safest possible scale; trimScale bigint doesn't trim the scale when there's nothing to trim; trimScale bigint doesn't crash on zero amounts; trimScale Big.js trims a Dinero object down to its currency exponent's scale; trimScale Big.js trims a Dinero object down to the safest possible scale; trimScale Big.js doesn't trim the scale when there's nothing to trim; trimScale Big.js doesn't crash on zero amounts,equivalent,,
202,Survived,packages/dinero.js/src/core/api/trimScale.ts,28,BlockStatement,{ return dineroObject; },{},trimScale number doesn't trim the scale when there's nothing to trim; trimScale number doesn't crash on zero amounts; trimScale bigint doesn't trim the scale when there's nothing to trim; trimScale bigint doesn't crash on zero amounts; trimScale Big.js doesn't trim the scale when there's nothing to trim; trimScale Big.js doesn't crash on zero amounts,equivalent,,
285,Survived,packages/dinero.js/src/core/utils/distribute.ts,51,MethodExpression,"ratios .map((ratio, index) => ({ ratio, index })) .filter(({ ratio }) => !equalFn(ratio, zero))","ratios.map((ratio, index) => ({ ratio, index }))",distribute distributes to percentages; distribute distributes to ratios; distribute distributes negative amounts; distribute distributes while ignoring zero ratios; distribute distributes to negative ratios; distribute distributes negative amounts to negative ratios; distribute distributes remainder to largest ratio first; distribute distributes remainder to multiple largest ratios in order; distribute does not hang with amounts larger than `MAX_SAFE_INTEGER`; distribute properties preserves the total: sum of shares equals the input; distribute properties distributes non-negatively for positive amounts; distribute properties distributes non-positively for negative amounts; allocate number decimal currencies allocates to percentages; allocate number decimal currencies allocates to ratios; allocate number decimal currencies ignores zero ratios; allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies allocates to ratios; allocate bigint decimal currencies ignores zero ratios; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies allocates to ratios; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts,equivalent,,
297,Survived,packages/dinero.js/src/core/utils/distribute.ts,68,ConditionalExpression,"equalFn(newRemainder, remainder)",false,distribute distributes to percentages; distribute distributes negative amounts; distribute distributes while ignoring zero ratios; distribute distributes to negative ratios; distribute distributes negative amounts to negative ratios; distribute distributes remainder to largest ratio first; distribute distributes remainder to multiple largest ratios in order; distribute properties preserves the total: sum of shares equals the input; distribute properties distributes non-negatively for positive amounts; distribute properties distributes non-positively for negative amounts; allocate number decimal currencies allocates to percentages; allocate number decimal currencies ignores zero ratios; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies ignores zero ratios; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts,real_gap,,
298,NoCoverage,packages/dinero.js/src/core/utils/distribute.ts,68,BlockStatement,{ break; },{},,real_gap,,
