mutant_id,status,file,line,mutator,original,replacement,covering_tests,verdict,reason,mentor_confirmed
1568,NoCoverage,src/Stateless/StateRepresentation.cs,80,Boolean mutation,false,true,,not_worth,"NoCoverage on a boolean literal in a guard-evaluation path; low-value branch, review with mentor if time allows.",yes
1579,Survived,src/Stateless/StateRepresentation.cs,95,Statement mutation,throw new InvalidOperationException(message);,;,Stateless.Tests.StateMachineFixture.ExceptionWhenPermitDyanmicIfAsyncHasMultipleNonExclusiveGuards; Stateless.Tests.StateMachineFixture.ExceptionWhenPermitDyanmicIfHasMultipleNonExclusiveGuards; Stateless.Tests.StateMachineFixture.ExceptionWhenPermitIfHasMultipleNonExclusiveGuards,real_gap,Removing the 'multiple transitions permitted' throw survives because ExceptionWhenPermitIfHasMultipleNonExclusiveGuards only asserts InvalidOperationException; the unhandled-trigger path throws the same type. The test should check the message or the unhandled-trigger callback is not used.,yes
1581,Survived,src/Stateless/StateRepresentation.cs,100,Linq method mutation (FirstOrDefault() to First()),results.FirstOrDefault,results.First,Stateless.Tests.IgnoredTriggerBehaviourFixture.IgnoreIfFalseTriggerMustNotBeIgnored; Stateless.Tests.DynamicAsyncTriggerBehaviourFixture.PermitDynamicIf_With_3_TriggerParameters_Throws_When_GuardCondition_Not_Met; Stateless.Tests.DynamicAsyncTriggerBehaviourFixture.PermitDynamicIf_With_2_TriggerParameters_Throws_When_GuardCondition_Not_Met; Stateless.Tests.DynamicAsyncTriggerBehaviourFixture.PermitDynamicIf_With_TriggerParameter_Throws_When_GuardCondition_Not_Met; Stateless.Tests.DynamicTriggerBehaviourAsyncFixture.PermitDynamicIf_With_2_TriggerParameters_Throws_When_GuardCondition_Not_Met_Async; Stateless.Tests.DynamicTriggerBehaviourAsyncFixture.PermitDynamicIf_With_TriggerParameter_Throws_When_GuardCondition_Not_Met_Async; Stateless.Tests.DynamicTriggerBehaviourAsyncFixture.PermitDynamicIf_With_3_TriggerParameters_Throws_When_GuardCondition_Not_Met_Async; Stateless.Tests.DynamicTriggerBehaviourFixture.PermitDynamicIf_With_2_TriggerParameters_Throws_When_GuardCondition_Not_Met; Stateless.Tests.DynamicTriggerBehaviourFixture.PermitDynamicIf_With_TriggerParameter_Throws_When_GuardCondition_Not_Met; Stateless.Tests.DynamicTriggerBehaviourFixture.PermitDynamicIf_With_3_TriggerParameters_Throws_When_GuardCondition_Not_Met; Stateless.Tests.StateMachineFixture.ExceptionWhenBothParameterizedGuardClausesFalse; Stateless.Tests.StateMachineFixture.ExceptionWhenGuardFalseOnTriggerWithMultipleParameters; Stateless.Tests.StateMachineFixture.ExceptionThrownForInvalidTransitionMentionsGuardDescriptionIfPresent; Stateless.Tests.StateMachineFixture.NoExceptionWhenPermitIfHasMultipleExclusiveGuardsBothFalse; Stateless.Tests.StateMachineFixture.CanFire_When_Transition_Is_Contidional_And_Has_One_Trigger_Parameter_And_No_Guard_Conditions_Are_Met_Returns_Guard_Conditions; Stateless.Tests.StateMachineFixture.CanFire_When_Transition_Is_Contidional_And_Has_Three_Trigger_Parameters_And_No_Guard_Conditions_Are_Met_Returns_Guard_Conditions; Stateless.Tests.StateMachineFixture.CanFire_When_Transition_Is_Conditional_And_Two_Trigger_Parameters_Are_Used_And_Condition_Is_Not_Met_Returns_False; Stateless.Tests.StateMachineFixture.ExceptionThrownForInvalidTransitionMentionsMultiGuardGuardDescriptionIfPresent; Stateless.Tests.StateMachineFixture.CanFire_GetUnmetGuardDescriptionsIfGuardFails; Stateless.Tests.StateMachineFixture.ExceptionWhenIgnoreIfParameterizedGuardFalse; Stateless.Tests.StateMachineFixture.CanFire_When_Transition_Is_Conditional_And_Three_Trigger_Parameters_Are_Used_And_Condition_Is_Not_Met_Returns_False; Stateless.Tests.StateMachineFixture.TransitionWhenPermitIfHasMultipleExclusiveGuardsWithSuperStateTrue; Stateless.Tests.StateMachineFixture.TransitionWhenPermitReentryIfParameterizedGuardFalse; Stateless.Tests.StateMachineFixture.CanFire_When_Transition_Is_Conditional_On_Non_Default_Value_And_Trigger_Parameters_Are_Omitted_Returns_False; Stateless.Tests.StateMachineFixture.CanFire_When_Transition_Is_Conditional_And_One_Trigger_Parameter_Is_Used_And_Condition_Is_NotMet_Returns_False; Stateless.Tests.StateMachineFixture.ExceptionWhenParameterizedGuardFalse; Stateless.Tests.StateMachineFixture.CanFire_When_Transition_Is_Contidional_And_Has_Two_Trigger_Parameters_And_No_Guard_Conditions_Are_Met_Returns_Guard_Conditions; Stateless.Tests.AsyncTransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsedAsync; Stateless.Tests.AsyncTransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsedAsync; Stateless.Tests.AsyncTransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsedAsync; Stateless.Tests.AsyncTransitionTests.GivenTriggerHandledOnSuperStateAndSubState_WhenSubstateTransitionGuardBlocked_ThenShouldUseSuperstateTransitionAsync; Stateless.Tests.DynamicAsyncTriggerBehaviourAsyncFixture.PermitDynamicIf_With_TriggerParameter_Throws_When_GuardCondition_Not_Met_Async; Stateless.Tests.DynamicAsyncTriggerBehaviourAsyncFixture.PermitDynamicIf_With_3_TriggerParameters_Throws_When_GuardCondition_Not_Met_Async; Stateless.Tests.DynamicAsyncTriggerBehaviourAsyncFixture.PermitDynamicIf_With_2_TriggerParameters_Throws_When_GuardCondition_Not_Met_Async; Stateless.Tests.StateRepresentationFixture.SetGuardDescriptionWhenSubstateGuardFails; Stateless.Tests.StateRepresentationFixture.WhenTransitionExistAndSuperstateUnmetGuardConditions_FireNotPossible; Stateless.Tests.StateRepresentationFixture.WhenTransitionUnmetGuardConditions_TriggerCannotBeFired; Stateless.Tests.StateRepresentationFixture.AddAllGuardDescriptionsWhenMultipleGuardsFailForSameTrigger; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenTriggerHandledOnSuperStateAndSubState_WhenSubstateTransitionGuardBlocked_ThenShouldUseSuperstateTransition,equivalent,"In TryFindLocalHandlerResultWithUnmetGuardConditions the list is non-empty and every entry has unmet guards whenever this path is reached, so First() and FirstOrDefault() return the same element.",yes
1633,Survived,src/Stateless/StateRepresentation.cs,202,Negate expression,IsIncludedIn(transition.Destination),!(IsIncludedIn(transition.Destination)),Stateless.Tests.AsyncActionsFixture.SuperStateShouldNotExitOnSubStateTransition_WhenUsingSyncTriggers; Stateless.Tests.IgnoredTriggerBehaviourFixture.IgnoreIfFalseTriggerMustNotBeIgnored; Stateless.Tests.InitialTransitionFixture.VerifyNotEnterSuperstateWhenDoingInitialTransition; Stateless.Tests.StateMachineFixture.TransitionWhenPermitIfHasMultipleExclusiveGuardsWithSuperStateFalse; Stateless.Tests.StateMachineFixture.TransitionToSuperstateDoesNotExitSuperstate; Stateless.Tests.StateMachineFixture.TransitionWhenPermitIfHasMultipleExclusiveGuardsWithSuperStateTrue; Stateless.Tests.StateMachineFixture.IfSelfTransitionPermited_ActionsFire_InSubstate; Stateless.Tests.StateMachineFixture.WhenInSubstate_TriggerSuperStateTwiceToSameSubstate_DoesNotReenterSubstate; Stateless.Tests.ActiveStatesFixture.WhenTransitioningWithinSameSuperstate; Stateless.Tests.StateRepresentationFixture.WhenTransitioningFromSubToSuperstate_SubstateExitActionsExecuted; Stateless.Tests.StateRepresentationFixture.WhenExitingSubstate_SubstateEntryActionsExecuteBeforeSuperstate; Stateless.Tests.StateRepresentationFixture.WhenLeavingSubstate_SuperExitActionsExecuted; Stateless.Tests.TransitionTests.GivenTriggerHandledOnSuperStateAndSubState_WhenSubstateTransitionGuardOpen_ThenShouldUseSubstateTransition; Stateless.Tests.TransitionTests.GivenTriggerHandledOnSuperStateAndSubState_WhenTriggerFiredSync_ThenShouldUseSubstateTransition; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenMultiLayerSubstates_AndGuardConditionIsClosed_OpenTransitionOnClosestAncestorIsUsed; Stateless.Tests.TransitionTests.GivenTriggerHandledOnSuperStateAndSubState_WhenSubstateTransitionGuardBlocked_ThenShouldUseSuperstateTransition,equivalent,"Revised after the candidate run: negating IsIncludedIn only swaps which branch calls _superstate.Exit(transition), and Exit() itself skips the exit actions when the destination is included in that superstate, so behaviour is unchanged. The candidate parent-transition test did not kill it and was dropped.",yes
1635,Survived,src/Stateless/StateRepresentation.cs,205,LogicalNotExpression to un-LogicalNotExpression mutation,!_superstate.UnderlyingState.Equals(transition.Destination),_superstate.UnderlyingState.Equals(transition.Destination),Stateless.Tests.StateMachineFixture.TransitionToSuperstateDoesNotExitSuperstate; Stateless.Tests.StateMachineFixture.IfSelfTransitionPermited_ActionsFire_InSubstate; Stateless.Tests.StateRepresentationFixture.WhenTransitioningFromSubToSuperstate_SubstateExitActionsExecuted,real_gap,Removing the negation skips exiting the intermediate parent when a nested substate transitions to its grandparent; no test checks that case (see also mutant 1636).,yes
1636,NoCoverage,src/Stateless/StateRepresentation.cs,206,Block removal mutation,{ return _superstate.Exit(transition); },{},,real_gap,NoCoverage: a transition from a nested substate to its grandparent should run the intermediate parent's exit actions; no test exercises it.,yes
1649,Survived,src/Stateless/StateRepresentation.cs,243,String mutation,"""Running Async internal actions in synchronous mode is not allowed""","""""",Stateless.Tests.AsyncActionsFixture.WhenSyncFireInternalAsyncAction,not_worth,Only changes the exception message text for async internal actions in sync mode.,yes
1652,NoCoverage,src/Stateless/StateRepresentation.cs,253,Statement mutation,"throw new ArgumentNullException(""The configuration is incorrect, no action assigned to this internal transition."");",;,,not_worth,NoCoverage on a defensive throw for an internal transition without an action; likely unreachable through the public API.,yes
1653,NoCoverage,src/Stateless/StateRepresentation.cs,253,String mutation,"""The configuration is incorrect, no action assigned to this internal transition.""","""""",,not_worth,Message text of the same defensive throw as mutant 1652.,yes
1706,NoCoverage,src/Stateless/TransitionGuard.cs,45,Block removal mutation,"{ return guards.Select(guard => new Tuple<Func<object[], bool>, string>( ToPackedGuard(guard.Item1), guard.Item2)) .ToArray(); }",{},,real_gap,"NoCoverage: ToPackedGuards for two-parameter triggers is used by PermitIf overloads with multiple guards, which no test calls.",yes
