mutant_id,status,file,line,mutator,original,replacement,covering_tests,verdict,reason,mentor_confirmed
24,Survived,packages/dinero.js/src/core/api/allocate.ts,80,MethodExpression,"normalizedRatios.every(({ amount }) => greaterThanOrEqualFn(amount, zero) )","normalizedRatios.some(({ amount }) => greaterThanOrEqualFn(amount, zero))",allocate number decimal currencies allocates to percentages; allocate number decimal currencies allocates to ratios; allocate number decimal currencies ignores zero ratios; allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number decimal currencies throws when using empty ratios; allocate number decimal currencies throws when using negative ratios; allocate number decimal currencies throws when using only zero ratios; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies throws when using empty ratios; allocate number non-decimal currencies throws when using negative ratios; allocate number non-decimal currencies throws when using only zero ratios; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies allocates to ratios; allocate bigint decimal currencies ignores zero ratios; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies throws when using empty ratios; allocate bigint decimal currencies throws when using negative ratios; allocate bigint decimal currencies throws when using only zero ratios; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies throws when using empty ratios; allocate bigint non-decimal currencies throws when using negative ratios; allocate bigint non-decimal currencies throws when using only zero ratios; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies allocates to ratios; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies throws when using empty ratios; allocate Big.js decimal currencies throws when using negative ratios; allocate Big.js decimal currencies throws when using only zero ratios; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies throws when using empty ratios; allocate Big.js non-decimal currencies throws when using negative ratios; allocate Big.js non-decimal currencies throws when using only zero ratios; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts,real_gap,"Proposed by Claude, not yet confirmed. every->some on hasOnlyPositiveRatios survives because the only negative-ratio test uses [-50, -50], which is already rejected by hasOneNonZeroRatio. A mixed case such as [-50, 150] is never tested.",
31,Survived,packages/dinero.js/src/core/api/allocate.ts,87,ConditionalExpression,hasRatios && hasOnlyPositiveRatios,true,allocate number decimal currencies allocates to percentages; allocate number decimal currencies allocates to ratios; allocate number decimal currencies ignores zero ratios; allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number decimal currencies throws when using empty ratios; allocate number decimal currencies throws when using negative ratios; allocate number decimal currencies throws when using only zero ratios; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies throws when using empty ratios; allocate number non-decimal currencies throws when using negative ratios; allocate number non-decimal currencies throws when using only zero ratios; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies allocates to ratios; allocate bigint decimal currencies ignores zero ratios; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies throws when using empty ratios; allocate bigint decimal currencies throws when using negative ratios; allocate bigint decimal currencies throws when using only zero ratios; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies throws when using empty ratios; allocate bigint non-decimal currencies throws when using negative ratios; allocate bigint non-decimal currencies throws when using only zero ratios; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies allocates to ratios; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies throws when using empty ratios; allocate Big.js decimal currencies throws when using negative ratios; allocate Big.js decimal currencies throws when using only zero ratios; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies throws when using empty ratios; allocate Big.js non-decimal currencies throws when using negative ratios; allocate Big.js non-decimal currencies throws when using only zero ratios; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts,real_gap,"Proposed by Claude, not yet confirmed. Same gap as mutant 24: dropping 'hasRatios && hasOnlyPositiveRatios' is invisible without a mixed negative/positive ratio test.",
32,Survived,packages/dinero.js/src/core/api/allocate.ts,87,LogicalOperator,hasRatios && hasOnlyPositiveRatios,hasRatios || hasOnlyPositiveRatios,allocate number decimal currencies allocates to percentages; allocate number decimal currencies allocates to ratios; allocate number decimal currencies ignores zero ratios; allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number decimal currencies throws when using empty ratios; allocate number decimal currencies throws when using negative ratios; allocate number decimal currencies throws when using only zero ratios; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies throws when using empty ratios; allocate number non-decimal currencies throws when using negative ratios; allocate number non-decimal currencies throws when using only zero ratios; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies allocates to ratios; allocate bigint decimal currencies ignores zero ratios; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies throws when using empty ratios; allocate bigint decimal currencies throws when using negative ratios; allocate bigint decimal currencies throws when using only zero ratios; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies throws when using empty ratios; allocate bigint non-decimal currencies throws when using negative ratios; allocate bigint non-decimal currencies throws when using only zero ratios; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies allocates to ratios; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies throws when using empty ratios; allocate Big.js decimal currencies throws when using negative ratios; allocate Big.js decimal currencies throws when using only zero ratios; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies throws when using empty ratios; allocate Big.js non-decimal currencies throws when using negative ratios; allocate Big.js non-decimal currencies throws when using only zero ratios; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts,real_gap,"Proposed by Claude, not yet confirmed. Same gap as mutant 24: '||' instead of '&&' only differs for mixed negative/positive ratios.",
78,Survived,packages/dinero.js/src/core/api/haveSameAmount.ts,26,MethodExpression,"otherDineros.every((d) => { const { amount: subjectAmount } = d.toJSON(); return equalFn(subjectAmount, comparatorAmount); })","otherDineros.some(d => { const { amount: subjectAmount } = d.toJSON(); return equalFn(subjectAmount, comparatorAmount); })","equal number decimal currencies returns true when amounts and currencies are equal; equal number decimal currencies returns false when amounts are not equal; equal number decimal currencies returns false when currencies are not equal; equal number decimal currencies returns false when amounts and currencies are not equal; equal number decimal currencies returns true when amounts are equal after normalization; equal number decimal currencies returns false when amounts are not equal after normalization; equal number non-decimal currencies returns true when amounts and currencies are equal; equal number non-decimal currencies returns false when amounts are not equal; equal number non-decimal currencies returns false when currencies are not equal; equal number non-decimal currencies returns false when amounts and currencies are not equal; equal number non-decimal currencies returns true when amounts are equal after normalization; equal number non-decimal currencies returns false when amounts are not equal after normalization; equal bigint decimal currencies returns true when amounts and currencies are equal; equal bigint decimal currencies returns false when amounts are not equal; equal bigint decimal currencies returns false when currencies are not equal; equal bigint decimal currencies returns false when amounts and currencies are not equal; equal bigint decimal currencies returns true when amounts are equal after normalization; equal bigint decimal currencies returns false when amounts are not equal after normalization; equal bigint non-decimal currencies returns true when amounts and currencies are equal; equal bigint non-decimal currencies returns false when amounts are not equal; equal bigint non-decimal currencies returns false when currencies are not equal; equal bigint non-decimal currencies returns false when amounts and currencies are not equal; equal bigint non-decimal currencies returns true when amounts are equal after normalization; equal bigint non-decimal currencies returns false when amounts are not equal after normalization; equal Big.js decimal currencies returns true when amounts and currencies are equal; equal Big.js decimal currencies returns false when amounts are not equal; equal Big.js decimal currencies returns false when currencies are not equal; equal Big.js decimal currencies returns false when amounts and currencies are not equal; equal Big.js decimal currencies returns true when amounts are equal after normalization; equal Big.js decimal currencies returns false when amounts are not equal after normalization; equal Big.js non-decimal currencies returns true when amounts and currencies are equal; equal Big.js non-decimal currencies returns false when amounts are not equal; equal Big.js non-decimal currencies returns false when currencies are not equal; equal Big.js non-decimal currencies returns false when amounts and currencies are not equal; equal Big.js non-decimal currencies returns true when amounts are equal after normalization; equal Big.js non-decimal currencies returns false when amounts are not equal after normalization; equal properties is reflexive: equal(a, a) is always true; equal properties is symmetric: equal(a, b) equals equal(b, a); compare properties is consistent with equal: compare(a, b) === 0 iff equal(a, b); add properties is commutative: add(a, b) equals add(b, a); add properties is associative: add(add(a, b), c) equals add(a, add(b, c)); add properties has zero as identity: add(a, 0) equals a; add properties is the inverse of subtract: subtract(add(a, b), b) equals a; multiply properties has 1 as identity: multiply(a, 1) equals a; subtract properties is the inverse of add: add(subtract(a, b), b) equals a; haveSameAmount number returns true when amounts are equal; haveSameAmount number returns false when amounts are not equal; haveSameAmount number returns true when amounts are equal once normalized; haveSameAmount number returns false when amounts are not equal once normalized; haveSameAmount bigint returns true when amounts are equal; haveSameAmount bigint returns false when amounts are not equal; haveSameAmount bigint returns true when amounts are equal once normalized; haveSameAmount bigint returns false when amounts are not equal once normalized; haveSameAmount Big.js returns true when amounts are equal; haveSameAmount Big.js returns false when amounts are not equal; haveSameAmount Big.js returns true when amounts are equal once normalized; haveSameAmount Big.js returns false when amounts are not equal once normalized",real_gap,"Proposed by Claude, not yet confirmed. every->some survives because all haveSameAmount tests compare exactly two objects. Needs three objects where only a later one differs.",
201,Survived,packages/dinero.js/src/core/api/trimScale.ts,28,ConditionalExpression,"equalFn(newScale, scale)",false,trimScale number trims a Dinero object down to its currency exponent's scale; trimScale number trims a Dinero object down to the safest possible scale; trimScale number doesn't trim the scale when there's nothing to trim; trimScale number doesn't crash on zero amounts; trimScale bigint trims a Dinero object down to its currency exponent's scale; trimScale bigint trims a Dinero object down to the safest possible scale; trimScale bigint doesn't trim the scale when there's nothing to trim; trimScale bigint doesn't crash on zero amounts; trimScale Big.js trims a Dinero object down to its currency exponent's scale; trimScale Big.js trims a Dinero object down to the safest possible scale; trimScale Big.js doesn't trim the scale when there's nothing to trim; trimScale Big.js doesn't crash on zero amounts,equivalent,"Proposed by Claude, not yet confirmed. Skipping the early return calls transformScale with the same scale, which yields an equal Dinero object; only reference identity changes and it is not part of the documented contract.",
202,Survived,packages/dinero.js/src/core/api/trimScale.ts,28,BlockStatement,{ return dineroObject; },{},trimScale number doesn't trim the scale when there's nothing to trim; trimScale number doesn't crash on zero amounts; trimScale bigint doesn't trim the scale when there's nothing to trim; trimScale bigint doesn't crash on zero amounts; trimScale Big.js doesn't trim the scale when there's nothing to trim; trimScale Big.js doesn't crash on zero amounts,equivalent,"Proposed by Claude, not yet confirmed. Empty early-return block falls through to transformScale with the same scale; same value as mutant 201.",
285,Survived,packages/dinero.js/src/core/utils/distribute.ts,51,MethodExpression,"ratios .map((ratio, index) => ({ ratio, index })) .filter(({ ratio }) => !equalFn(ratio, zero))","ratios.map((ratio, index) => ({ ratio, index }))",allocate number decimal currencies allocates to percentages; allocate number decimal currencies allocates to ratios; allocate number decimal currencies ignores zero ratios; allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies allocates to ratios; allocate bigint decimal currencies ignores zero ratios; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies allocates to ratios; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts; distribute distributes to percentages; distribute distributes to ratios; distribute distributes negative amounts; distribute distributes while ignoring zero ratios; distribute distributes to negative ratios; distribute distributes negative amounts to negative ratios; distribute distributes remainder to largest ratio first; distribute distributes remainder to multiple largest ratios in order; distribute does not hang with amounts larger than `MAX_SAFE_INTEGER`; distribute properties preserves the total: sum of shares equals the input; distribute properties distributes non-negatively for positive amounts; distribute properties distributes non-positively for negative amounts,equivalent,"Proposed by Claude, not yet confirmed. Dropping the zero-ratio filter only appends zero-ratio indices after the non-zero ones; the remainder is always smaller than the number of non-zero ratios, so they are never reached. 0 differences on 200,000 random inputs (scratch port).",
297,Survived,packages/dinero.js/src/core/utils/distribute.ts,68,ConditionalExpression,"equalFn(newRemainder, remainder)",false,allocate number decimal currencies allocates to percentages; allocate number decimal currencies ignores zero ratios; allocate number non-decimal currencies allocates to percentages; allocate number non-decimal currencies allocates to ratios; allocate number non-decimal currencies ignores zero ratios; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies allocates to percentages; allocate bigint decimal currencies allocates to percentages with large integers; allocate bigint decimal currencies ignores zero ratios; allocate bigint non-decimal currencies allocates to percentages; allocate bigint non-decimal currencies allocates to ratios; allocate bigint non-decimal currencies ignores zero ratios; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies allocates to percentages; allocate Big.js decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies allocates to percentages; allocate Big.js non-decimal currencies allocates to percentages with large integers; allocate Big.js non-decimal currencies allocates to ratios; allocate Big.js non-decimal currencies ignores zero ratios; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; allocate properties preserves the total: sum of shares equals the original amount; allocate properties distributes non-negatively for positive amounts; distribute distributes to percentages; distribute distributes negative amounts; distribute distributes while ignoring zero ratios; distribute distributes to negative ratios; distribute distributes negative amounts to negative ratios; distribute distributes remainder to largest ratio first; distribute distributes remainder to multiple largest ratios in order; distribute properties preserves the total: sum of shares equals the input; distribute properties distributes non-negatively for positive amounts; distribute properties distributes non-positively for negative amounts,real_gap,"Proposed by Claude, not yet confirmed. The MAX_SAFE_INTEGER test never enters the remainder loop (0 iterations for 337582417582417600000 with [50, 50]), so the infinite-loop guard is untested. distribute(1e33, [1, 1, 1]) does reach the guard. Related bug: distribute(1e32, [1, 1, 1]) still hangs because the remainder is exactly 2^53, which decrements normally (confirmed: >60 s vs 2 s control).",
298,NoCoverage,packages/dinero.js/src/core/utils/distribute.ts,68,BlockStatement,{ break; },{},,real_gap,"Proposed by Claude, not yet confirmed. NoCoverage for the guard's break; same gap as mutant 297.",
311,Survived,packages/dinero.js/src/core/utils/getAmountAndScale.ts,10,OptionalChaining,value?.scale,value.scale,allocate number decimal currencies converts the allocated amounts to the safest scale; allocate number decimal currencies converts the ratios to the same scale before allocating; allocate number non-decimal currencies converts the allocated amounts to the safest scale; allocate number non-decimal currencies converts the ratios to the same scale before allocating; allocate bigint decimal currencies converts the allocated amounts to the safest scale; allocate bigint decimal currencies converts the ratios to the same scale before allocating; allocate bigint non-decimal currencies converts the allocated amounts to the safest scale; allocate bigint non-decimal currencies converts the ratios to the same scale before allocating; allocate Big.js decimal currencies converts the allocated amounts to the safest scale; allocate Big.js decimal currencies converts the ratios to the same scale before allocating; allocate Big.js non-decimal currencies converts the allocated amounts to the safest scale; allocate Big.js non-decimal currencies converts the ratios to the same scale before allocating; multiply number converts the multiplied amount to the safest scale; multiply bigint converts the multiplied amount to the safest scale; multiply Big.js converts the multiplied amount to the safest scale; convert number decimal currencies converts a Dinero object to another currency; convert bigint decimal currencies converts a Dinero object to another currency; convert Big.js decimal currencies converts a Dinero object to another currency; getAmountAndScale returns the amount and scale with scaled amounts; getAmountAndScale returns a zero scale when unspecified,equivalent,"Proposed by Claude, not yet confirmed. value is already known to be a scaled amount object inside this branch, so 'value?.scale' and 'value.scale' behave the same.",
